refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
EXXONMOBIL_BATON_ROUGE,COKER,123.5,107.67,2024,0.8718
EXXONMOBIL_BATON_ROUGE,DHCU,27.0,26.0,2024,0.963
EXXONMOBIL_BATON_ROUGE,FCC,244.5,217.12,2018,0.888
EXXONMOBIL_BATON_ROUGE,NHT,79.0,120.78,2018,1.5289
EXXONMOBIL_BATON_ROUGE,VDU,254.0,217.79,2024,0.8574
EXXONMOBIL_BEAUMONT,ALKY,14.9,17.93,2024,1.2034
EXXONMOBIL_BEAUMONT,CCR,143.5,155.98,2023,1.087
EXXONMOBIL_BEAUMONT,CDU,634.4,584.51,2024,0.9214
EXXONMOBIL_BEAUMONT,COKER,46.5,53.65,2023,1.1538
EXXONMOBIL_BEAUMONT,DHCU,70.0,69.83,2023,0.9976
EXXONMOBIL_BEAUMONT,FCC,115.0,107.3,2018,0.933
EXXONMOBIL_BEAUMONT,ISOM,33.8,38.6,2024,1.142
EXXONMOBIL_BEAUMONT,NHT,163.1,171.24,2024,1.0499
EXXONMOBIL_BEAUMONT,VDU,148.8,187.61,2023,1.2608
EXXONMOBIL_JOLIET,ALKY,29.1,30.08,2024,1.0337
EXXONMOBIL_JOLIET,CCR,52.6,50.33,2024,0.9568
EXXONMOBIL_JOLIET,CDU,275.0,271.98,2024,0.989
EXXONMOBIL_JOLIET,COKER,57.5,58.32,2018,1.0143
EXXONMOBIL_JOLIET,FCC,99.3,99.29,2024,0.9999
EXXONMOBIL_JOLIET,NHT,177.8,81.79,2024,0.46
EXXONMOBIL_JOLIET,VDU,126.7,126.57,2024,0.999
FLINT_CORPUS_CHRISTI,ALKY,15.5,18.75,2024,1.2097
FLINT_CORPUS_CHRISTI,CCR,48.0,48.0,2023,1.0
FLINT_CORPUS_CHRISTI,CDU,350.0,342.28,2023,0.9779
FLINT_CORPUS_CHRISTI,COKER,14.5,14.4,2022,0.9931
FLINT_CORPUS_CHRISTI,DHCU,15.0,15.0,2023,1.0
FLINT_CORPUS_CHRISTI,FCC,105.0,104.79,2023,0.998
FLINT_CORPUS_CHRISTI,ISOM,3.5,3.4,2024,0.9714
FLINT_CORPUS_CHRISTI,NHT,93.0,104.19,2023,1.1203
FLINT_CORPUS_CHRISTI,REF,17.0,27.0,2019,1.5882
FLINT_CORPUS_CHRISTI,VDU,87.5,87.49,2023,0.9999
FLINT_ROSEMOUNT,ALKY,14.0,16.84,2022,1.2029
FLINT_ROSEMOUNT,CCR,37.0,36.89,2018,0.997
FLINT_ROSEMOUNT,CDU,375.0,345.0,2022,0.92
FLINT_ROSEMOUNT,COKER,82.0,72.06,2022,0.8788
FLINT_ROSEMOUNT,DHCU,67.0,58.46,2024,0.8725
FLINT_ROSEMOUNT,FCC,96.0,79.2,2022,0.825
FLINT_ROSEMOUNT,ISOM,18.0,17.99,2022,0.9994
FLINT_ROSEMOUNT,NHT,51.3,62.9,2022,1.2261
FLINT_ROSEMOUNT,REF,13.8,13.8,2019,1.0
FLINT_ROSEMOUNT,VDU,234.0,182.66,2019,0.7806
HF_ANACORTES,ALKY,12.5,9.77,2017,0.7816
HF_ANACORTES,CDU,149.0,136.51,2019,0.9162
HF_ANACORTES,COKER,25.3,23.81,2018,0.9411
HF_ANACORTES,FCC,57.9,39.63,2017,0.6845
HF_ANACORTES,NHT,21.7,30.11,2019,1.3876
HF_ANACORTES,REF,21.7,26.58,2019,1.2249
HF_ANACORTES,VDU,65.8,52.48,2019,0.7976
HF_ARTESIA,ALKY,9.5,8.1,2023,0.8526
HF_ARTESIA,CCR,24.0,23.5,2024,0.9792
HF_ARTESIA,CDU,124.0,109.44,2018,0.8826
HF_ARTESIA,DHCU,18.0,17.47,2024,0.9706
HF_ARTESIA,FCC,30.0,30.99,2018,1.033
HF_ARTESIA,ISOM,9.54,9.4,2019,0.9853
HF_ARTESIA,NHT,42.0,37.03,2024,0.8817
HF_ARTESIA,VDU,34.3,31.59,2024,0.921
HF_EL_DORADO_KS,ALKY,14.0,17.27,2023,1.2336
HF_EL_DORADO_KS,CCR,7.5,28.74,2024,3.832
HF_EL_DORADO_KS,CDU,165.0,147.58,2017,0.8944
HF_EL_DORADO_KS,COKER,22.5,22.5,2024,1.0
HF_EL_DORADO_KS,FCC,44.0,43.99,2021,0.9998
HF_EL_DORADO_KS,ISOM,15.0,12.44,2018,0.8293
HF_EL_DORADO_KS,NHT,50.0,41.56,2018,0.8312
HF_EL_DORADO_KS,REF,23.5,23.04,2017,0.9804
HF_EL_DORADO_KS,VDU,65.0,64.35,2024,0.99
HF_TULSA,ALKY,5.5,6.43,2022,1.1691
HF_TULSA,CCR,25.0,22.0,2024,0.88
HF_TULSA,CDU,166.52,142.23,2022,0.8541
HF_TULSA,COKER,11.0,10.97,2017,0.9973
HF_TULSA,FCC,25.0,24.62,2022,0.9848
HF_TULSA,ISOM,13.0,10.92,2022,0.84
HF_TULSA,NHT,53.0,48.78,2022,0.9204
HF_TULSA,VDU,59.0,42.58,2022,0.7217
HF_WOODS_CROSS,ALKY,5.3,6.32,2024,1.1925
HF_WOODS_CROSS,CDU,45.0,39.33,2024,0.874
HF_WOODS_CROSS,DHCU,15.0,9.8,2024,0.6533
HF_WOODS_CROSS,ISOM,3.0,3.0,2024,1.0
