month,flow,kbd,source
2025-09,TOTIMPSB,49.0,Actual
2025-10,ADJFACT,-1.0,Actual
2025-10,BALANCE,20.0,Actual
2025-10,BLENDING,97.0,Actual
2025-10,CLOSTLV,50525.0,Actual
2025-10,IPTRANSF,-223.0,Actual
2025-10,PTRANSF,25.0,Actual
2025-10,RECEIPTS,345.0,Actual
2025-10,REFGROUT,389.0,Actual
2025-10,SPR,0.0,Actual
2025-10,STOCKCH,19.0,Actual
2025-10,TOTDEMO,139.0,Actual
2025-10,TOTEXPSB,337.0,Actual
2025-10,TOTIMPSB,10.0,Actual
2025-11,ADJFACT,1.0,Actual
2025-11,BALANCE,-109.0,Actual
2025-11,BLENDING,91.0,Actual
2025-11,CLOSTLV,47277.0,Actual
2025-11,IPTRANSF,-259.0,Actual
2025-11,PTRANSF,24.0,Actual
2025-11,RECEIPTS,374.0,Actual
2025-11,REFGROUT,365.0,Actual
2025-11,SPR,0.0,Actual
2025-11,STOCKCH,-108.0,Actual
2025-11,TOTDEMO,149.0,Actual
2025-11,TOTEXPSB,424.0,Actual
2025-11,TOTIMPSB,8.0,Actual
2025-12,ADJFACT,-1.0,Actual
2025-12,BALANCE,32.0,Actual
2025-12,BLENDING,126.0,Actual
2025-12,CLOSTLV,48246.0,Actual
2025-12,IPTRANSF,-231.0,Actual
2025-12,PTRANSF,61.0,Actual
2025-12,RECEIPTS,418.0,Actual
2025-12,REFGROUT,398.0,Actual
2025-12,SPR,0.0,Actual
2025-12,STOCKCH,31.0,Actual
2025-12,TOTDEMO,168.0,Actual
2025-12,TOTEXPSB,359.0,Actual
2025-12,TOTIMPSB,35.0,Actual
2026-01,ADJFACT,1.0,Actual
2026-01,BALANCE,-20.0,Actual
2026-01,BLENDING,166.0,Actual
2026-01,CLOSTLV,47667.0,Actual
2026-01,IPTRANSF,-199.0,Actual
2026-01,PTRANSF,25.0,Actual
2026-01,RECEIPTS,390.0,Actual
2026-01,REFGROUT,412.0,Actual
2026-01,SPR,0.0,Actual
2026-01,STOCKCH,-19.0,Actual
2026-01,TOTDEMO,186.0,Actual
2026-01,TOTEXPSB,443.0,Actual
2026-01,TOTIMPSB,31.0,Actual
2026-02,ADJFACT,-1.0,Actual
